Boundary Edges (Efr)
Total: 120
Edge_ID    Vertex1    Vertex2    Reference
1    1    2    4
2    1    4    1
3    4    7    1
4    2    18    4
5    9    11    5
6    11    30    5
7    18    19    4
8    19    45    4
9    25    34    5
10    25    36    5
11    30    31    5
12    7    123    1
13    9    118    5
14    31    34    5
15    36    60    5
16    60    63    5
17    63    71    5
18    71    74    5
19    74    94    5
20    94    95    5
21    95    99    5
22    98    99    5
23    98    109    5
24    109    111    5
25    111    116    5
26    116    119    5
27    118    119    5
28    123    126    1
29    126    128    1
30    128    130    1
31    130    148    1
32    150    151    5
33    151    159    5
34    150    170    5
35    157    158    5
36    158    159    5
37    148    245    1
38    170    181    5
39    157    240    5
40    177    180    5
41    177    187    5
42    180    181    5
43    45    736    4
44    187    188    5
45    188    200    5
46    198    199    5
47    199    200    5
48    198    205    5
49    205    207    5
50    207    223    5
51    220    221    5
52    221    223    5
53    220    240    5
54    232    235    2
55    235    251    2
56    232    286    2
57    245    253    1
58    251    255    2
59    253    256    1
60    255    256    2
61    257    258    2
62    257    260    3
63    258    262    2
64    260    275    3
65    262    289    2
66    286    287    2
67    287    289    2
68    296    301    5
69    301    304    5
70    304    307    5
71    275    427    3
72    307    308    5
73    296    407    5
74    308    438    5
75    325    403    5
76    325    408    5
77    372    388    5
78    372    397    5
79    387    388    5
80    387    430    5
81    397    404    5
82    403    405    5
83    404    405    5
84    407    408    5
85    429    430    5
86    429    437    5
87    427    458    3
88    437    439    5
89    438    439    5
90    458    460    3
91    460    462    3
92    462    466    3
93    474    477    5
94    477    481    5
95    481    485    5
96    484    485    5
97    484    621    5
98    466    849    3
99    474    841    5
100    606    607    5
101    607    610    5
102    610    618    5
103    618    621    5
104    606    765    5
105    736    739    4
106    739    807    4
107    765    768    5
108    768    777    5
109    777    781    5
110    780    781    5
111    780    833    5
112    807    808    4
113    808    854    4
114    833    835    5
115    835    845    5
116    841    842    5
117    842    845    5
118    849    852    3
119    852    855    3
120    854    855    4
